"Description","Timeseries File ID","Unit of Measure","Table Name"
"Productivity, Services, Public Administration and Defence","PRPAD","Output/Person Hour",""
"Average Weekly Wages (Industrial Composite)","WWIC","$",""
"Average Weekly Wages, Agriculture","WWCRO","$",""
"Average Weekly Wages, Other Primary","WWOPR","$",""
"Average Weekly Wages, Manufacturing","WWMAN","$",""
"Average Weekly Wages, Construction","WWCON","$",""
"Average Weekly Wages, Utilities","WWUTI","$",""
"Average Weekly Wages, Services ","WWSER","$",""
"Average Weekly Wages, Services, Commercial Services","WWCMS","$",""
"Average Weekly Wages, Services, Commercial Services, Wholesale and Retail Trade","WWWRT","$",""
"Average Weekly Wages, Services, Commercial Services, Transportation and Warehousing","WWTSC","$",""
"Average Weekly Wages, Services, Commercial Services, Insurance, Finance, Real Estate and Leasing","WWIFI","$",""
"Average Weekly Wages, Services, Commercial Services, Professional, Scientific and Technical Services","WWPRO","$",""
"Average Weekly Wages, Services, Commercial Services, Business, Building and other Support Services","WWADW","$",""
"Average Weekly Wages, Services, Commercial Services, Information, Culture and Recreation","WWCUR","$",""
"Average Weekly Wages, Services, Commercial Services, Accommodation and Food Services","WWACC","$",""
"Average Weekly Wages, Services, Commercial Services, Other Services","WWOSE","$",""
"Average Weekly Wages, Services, Non-Commercial Services","WWNCS","$",""
"Average Weekly Wages, Services, Non-Commercial Services, Educational Services","WWEDU","$",""
"Average Weekly Wages, Services, Non-Commercial Services, Health Care and Social Assistance","WWHEA","$",""
"Average Weekly Wages, Services, Public Administration and Defence","WWPAD","$",""
"Average Weekly Wages, All Industries","WW","$",""
"Wages and Salaries Per Employee, Agriculture","AWCRO","Thousands ('000s)",""
"Wages and Salaries Per Employee, Other Primary","AWOPR","Thousands ('000s)",""
"Wages and Salaries Per Employee, Manufacturing","AWMAN","Thousands ('000s)",""
"Wages and Salaries Per Employee, Construction","AWCON","Thousands ('000s)",""
"Wages and Salaries Per Employee, Utilities","AWUTI","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services","AWSER","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Commercial Services","AWCMS","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Commercial Services, Wholesale and Retail Trade","AWWRT","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Commercial Services, Transportation and Warehousing","AWTSC","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Commercial Services, Commercial and Personal Services","AWCPS","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Non-Commercial Services","AWNCS","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Non-Commercial Services, Educational Services","AWEDU","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Non-Commercial Services, Health Care and Social Assistance","AWHEA","Thousands ('000s)",""
"Wages and Salaries Per Employee, Services, Public Administration and Defence","AWPAD","Thousands ('000s)",""
"Total Wages, Agriculture","WCRO","Millions $",""
"Total Wages, Other Primary","WOPR","Millions $",""
"Total Wages, Manufacturing","WMAN","Millions $",""
"Total Wages, Construction","WCON","Millions $",""
"Total Wages, Utilities","WUTI","Millions $",""
"Total Wages, Services, Commercial Services, Wholesale and Retail Trade","WWRT","Millions $",""
"Total Wages, Services, Commercial Services, Transportation and Warehousing","WTSC","Millions $",""
"Total Wages, Services, Commercial Services, Commercial and Personal Services","WCPS","Millions $",""
"Total Wages, Services, Non-Commercial Services, Educational services","WEDU","Millions $",""
"Total Wages, Services, Non-Commercial Services, Health Care and Social Assistance","WHEA","Millions $",""
"Total Wages, Services, Public Administration and Defence","WPAD","Millions $",""
"Labour Income","WWTO","Millions $",""
"Supplementary Labour Income","WSLY","Millions $",""
"Total Income","WYTO","Millions $",""
"Unit Labour Costs (Industrial Composite)","ULCIC","Millions $",""
"Unit Labour Costs, Agriculture","ULCCRO","Millions $",""
"Unit Labour Costs, Other Primary","ULCOPR","Millions $",""
"Unit Labour Costs, Manufacturing","ULCMAN","Millions $",""
"Unit Labour Costs, Construction","ULCCON","Millions $",""
"Unit Labour Costs, Utilities","ULCUTI","Millions $",""
"Unit Labour Costs, Services","ULCSER","Millions $",""
"Unit Labour Costs, Services, Commercial Services","ULCCMS","Millions $",""
"Unit Labour Costs, Services, Commercial Services, Wholesale and Retail Trade","ULCWRT","Millions $",""
"Unit Labour Costs, Services, Commercial Services, Transportation and Warehousing","ULCTSC","Millions $",""
"Unit Labour Costs, Services, Commercial Services, Commercial and Personal Services","ULCCPS","Millions $",""
"Unit Labour Costs, Services, Non-Commercial Services","ULCNCS","Millions $",""
"Unit Labour Costs, Services, Non-Commercial Services, Educational Services","ULCEDU","Millions $",""
"Unit Labour Costs, Services, Non-Commercial Services, Health Care and Social Assistance","ULCHEA","Millions $",""
"Unit Labour Costs, Services, Public Administration and Defence","ULCPAD","Millions $",""
"Relative Unit Labour Cost Index, Canadian/U.S. (Industrial Composite)","RULCUS","Millions $",""
"Capacity Utilization Rates - Manufacturing","CURMAN","Millions $",""
"Industrial Production Index","QIP","Millions $",""
"West Texas Intermediate Oil Price (U.S. $)","POILUS","U.S. $",""
"Henry Hub Natural Gas Price (U.S. $)","PGASUS","U.S. $",""
"Raw Materials Price Index, Total","PRM","January 2020=1.0",""
"Raw materials price index, excluding crude energy products","PRMXE","January 2020=1.0",""
"Raw Materials Price Index, Animal and animal products","PRMAP","January 2020=1.0",""
"Raw Materials Product Index, Logs, pulpwood, natural rubber and other forestry products","PRMWD","January 2020=1.0",""
"Raw Materials Price Index, Crop Products","PRMCP","January 2020=1.0",""
"Raw Materials Price Index, Non-metallic Minerals","PRMNM","January 2020=1.0",""
"Raw Materials Price Index, Non-metallic Minerals","PRMMT","January 2020=1.0",""
"Raw Material Price Index, Crude Energy Products","PRMMF ","January 2020=1.0",""
"Raw Materials Product Index, Crude oil and cude bitumen","PRMMFO","January 2020=1.0",""
"Raw Materials Product Index, Mineral fuels, Natural gas","PRMMFG","January 2020=1.0",""
"Industry Product Price, Total manufacturing","PIP","January 2020=1.0",""
"Industry Product Price, Food, beverage and tobacco product manufacturing","PIPFB","January 2020=1.0",""
"Industry Product Price, Wood product manufacturing","PIPWD","January 2020=1.0",""
"Industry Product Price, Paper manufacturing","PIPPA","January 2020=1.0",""
"Industry Product Price, Petroleum and coal products manufacturing","PIPPC","January 2020=1.0",""
"Industry Product Price, Chemical manufacturing","PIPCH","January 2020=1.0",""
"Western Canada Select Oil Price","POILWCS","U.S. $",""
"Canadian Heavy Differential","POILWCSD","U.S. $",""
"Industry Product Price, Primary metal manufacturing","PIPPM","January 2020=1.0",""
"Industry Product Price, Machinery manufacturing","PIPME","January 2020=1.0",""
"Industry Product Price, Motor vehicle and parts","PIPMV","January 2020=1.0",""
"Industry Product Price, Other manufacturing","PIPOM","January 2020=1.0",""
"Average resale home price","PHMLS","$",""
"New housing price index","PHNHPI","2012=1.0",""
"Business Residential Construction Deflator","PIBR","2012=1.0",""
"Aggregate Deflators, Final Domestic Demand","PFDD","2012=1.0",""
"Aggregate Deflators, Gross Domestic Product","PGDP","2012=1.0",""
"General governments revenue","TREV","Millions $",""
"Taxes on incomes","TINC","Millions $",""
"Contributions to social insurance plans","TEIPC","Millions $",""
"Taxes on production and imports","TPRM","Millions $",""
"Taxes on production","TPRDT","Millions $",""
"Taxes on products","TPRO","Millions $",""
"Other current transfers from households","TTPER","Millions $",""
"Current transfers from non-profit institutions serving households","TTNPR","Millions $",""
"Other current transfers from non-residents","TTFNRF","Millions $",""
"Investment income","TYIN","Millions $",""
"Sales of goods and services","TSOGS","Millions $",""
"Capital transfers","TCAP","Millions $",""
"General governments expenditure","GEXP","Millions $",""
"Gross current expenditure on goods and services","GGGS","Millions $",""
"Current transfers to households","GTHH","Millions $",""
"Current transfers to non-profit institutions serving households","GTNPR","Millions $",""
"Subsidies","GSUB","Millions $",""
"Subsidies on products and imports","GSPI","Millions $",""
"Current transfers to non-residents","GTNR","Millions $",""
"Capital transfers","GCAS","Millions $",""
"Interest on debt","GIOPD","Millions $",""
"General governments surplus or deficit","GBAL","Millions $",""
"consumption of fixed capital","GCCA","Millions $",""
"Less: non-financial capital acquisition","GNFC","Millions $",""
"Fixed capital","GNFF","Millions $",""
"Inventories","GNFIN","Millions $",""
"Equals: net lending or net borrowing","GNTL","Millions $",""
"General governments revenue","TREVF","Millions $",""
"Taxes on incomes","TINCF","Millions $",""
"From households","TIHHF","Millions $",""
"Income taxes","TIPITF","Millions $",""
"Wealth transfer taxes","TIWTTF","Millions $",""
"From corporations and government business enterprises, liabilities (accrual basis)","TIBITF","Millions $",""
"From non-residents (withholding taxes)","TINRWF","Millions $",""
"Contributions to social insurance plans","TEIPCF","Millions $",""
"Taxes on production and imports","TPRMF","Millions $",""
"Taxes on production","TPRDTF","Millions $",""
"Taxes on products","TPROF","Millions $",""
"Custom import duties","TPCIDF","Millions $",""
"Excise duties","TPEXDF","Millions $",""
"Excise taxes","TPXTF","Millions $",""
"Manufacturers' sales tax","TPFSTF","Millions $",""
"Gasoline and motive fuel taxes","TPGASF","Millions $",""
"Oil export tax, Natural gas and old age security fund levy","TPOILF","Millions $",""
"Other excise taxes","TPOTHF","Millions $",""
"Goods and services tax, accrual basis","TPGSTF","Millions $",""
"Air travellers security charge","TPAIRF","Millions $",""
"Federal-provincial lottery agreement","TPLOTF","Millions $",""
"Parimutuel supervision","TPPARF","Millions $",""
"Western Grain Stabilization levy, Canadian ownership charge, Petroleum compensation charge, Other federal taxes on products","TPPETF","Millions $",""
"Other current transfers from households","TTPERF","Millions $",""
"Current transfers from non-profit institutions serving households","TTNPRF","Millions $",""
"Current transfers from general governments","TGOVF","Millions $",""
"From provincial and territorial general governments","TGPRVF","Millions $",""
"From local general governments","TGLOCF","Millions $",""
"From Aboriginal general governments","TGABOF","Millions $",""
"Other current transfers from non-residents","TTFNRF","Millions $",""
"Investment income","TYINF","Millions $",""
"Royalties","TYROYF","Millions $",""
"Interest and other investment income","TYIINF","Millions $",""
"Remitted profits of government business enterprises","TYGBUF","Millions $",""
"Sales of goods and services","TSOGSF","Millions $",""
"Capital transfers","TCAPF","Millions $",""
"From households","TCPERF","Millions $",""
"From non-profit institutions serving households","TCNPRF","Millions $",""
"From business","TCBUSF","Millions $",""
"From general governments","TCGOVF","Millions $",""
"From non-residents","TCNRSF","Millions $",""
"General governments expenditure","GEXPF","Millions $",""
"Gross current expenditure on goods and services","GGGSF","Millions $",""
"Gross current expenditure on goods and services, Non-defence","GGSNDEF  ","Millions $",""
"Defence","GGSDEFF  ","Millions $",""
"Consumption of fixed capital","GCCAF","Millions $",""
"Current transfers to households","GTHHF","Millions $",""
"Family and youth allowances","GTHFAF","Millions $",""
"Child Tax Benefit","GTHCTF","Millions $",""
"Universal Childcare Benefit","GTHCBF","Millions $",""
"Child Tax Credit","GTHCCF","Millions $",""
"Employment Insurance benefits","GTHEIF","Millions $",""
"Old age security","GTHOAF","Millions $",""
"Goods and Services Tax credit","GTHGSF","Millions $",""
"War veterans' allowances","GTHVEF","Millions $",""
"Adult occupational training","GTHTRF","Millions $",""
"Research and scholarship grants","GTHREF","Millions $",""
"Other federal transfers to households","GTHOTF","Millions $",""
"Current transfers to non-profit institutions serving households","GTNPRF","Millions $",""
"Subsidies","GSUBF","Millions $",""
"Subsidies on products and imports","GSPIF","Millions $",""
"Agriculture","GSPAGF","Millions $",""
"Non-agriculture","GSPNAF","Millions $",""
"Subsidies on production","GSPROF","Millions $",""
"Current transfers to general governments","GXGRF","Millions $",""
"To provincial and territorial general governments","GXTPF","Millions $",""
"To provincial and territorial administration","GXPTF","Millions $",""
"Taxation agreements","GXPTAF","Millions $",""
"Post-secondary education","GXPPS","Millions $",""
"Hospital insurance","GXPHIF","Millions $",""
"Medicare","GXPMCF","Millions $",""
"Extended health care","GXPEHF","Millions $",""
"Canada Assistance Plan","GXPCAF","Millions $",""
"Canadian health and social transfers","GXPHF","Millions $",""
"Canadian Health Transfer","GXPHTF","Millions $",""
"Canadian Social Transfer","GXPSTF","Millions $",""
"Territorial governments","GXPTGF","Millions $",""
"Official languages","GXPOLF","Millions $",""
"Regional development","GXPRDF","Millions $",""
"Current transfers to general governments, Other","GXPOTF","Millions $",""
"Current transfers to general governments, provincial and territorial education","GXEDUF","Millions $",""
"Current transfers to general governments, provincial health and social services","GXHSSF","Millions $",""
"Current transfers to general governments, local general governments","GXLGGF","Millions $",""
"Current transfers to general governments, Aboriginal general governments","GXABOF","Millions $",""
"Current transfers to non-residents","GTNRF","Millions $",""
"Current transfers to non-residents, Contributions and aid","GTNRAF","Millions $",""
"Current transfers to non-residents, Pension benefits and other","GTNRPF","Millions $",""
"Capital transfers","GCASF","Millions $",""
"Capital transfers, To households","GCAHHF","Millions $",""
"Capital transfers, To non-profit institutions serving households","GCANPF","Millions $",""
"Capital transfers, To business","GCABUF","Millions $",""
"Capital transfers, To general governments","GCAGF","Millions $",""
"Capital transfers, To provincial and territorial general governments","GCAGPF","Millions $",""
"Capital transfers, To local general governments","GCAGLF","Millions $",""
"Capital transfers, To Aboriginal general governments","GCAGAF  ","Millions $",""
"Capital transfers, To non-residents","GCANRF","Millions $",""
"Interest on debt","GIOPDF","Millions $",""
"General governments surplus or deficit","GBALF","Millions $",""
"Non-financial capital acquisition","GNFCF","Millions $",""
"Fixed capital","GNFFF","Millions $",""
"New capital","GNFNCF","Millions $",""
"Existing capital","GNFECF","Millions $",""
"Inventories","GNFINF","Millions $",""
"Net lending or net borrowing","GNTLF","Millions $",""
"General governments revenue","TREVP","Millions $",""
"Taxes on incomes","TINCP","Millions $",""
"From households","TIHHP","Millions $",""
"From corporations and government business enterprises, liabilities (accrual basis)","TIBITP","Millions $",""
"Contributions to social insurance plans","TEIPCP","Millions $",""
"Employers contributions to workers' compensation","TEIWCP","Millions $",""
"Employer and employee contributions to industrial employees' vacations","TEIVCP","Millions $",""
"Contributions to social insurance plans, other","TEIOTP","Millions $",""
"Taxes on production and imports","TPRMP","Millions $",""
"Taxes on production","TPRDP","Millions $",""
"Natural resource licences and taxes","TPNATP","Millions $",""
"Motor vehicle licences","TPMVLP","Millions $",""
"Licences, permits and fees","TPLICP","Millions $",""
"Real property taxes","TPPRXP","Millions $",""
"Capital taxes","TPCAPP","Millions $",""
"Payroll taxes","TPPAYP","Millions $",""
"Agricultural insurance premiums","TPAGRP","Millions $",""
"Other provincial and territorial taxes on production","TPPOTP","Millions $",""
"Taxes on products","TPROP","Millions $",""
"General sales taxes","TPGSTP","Millions $",""
"Tobacco taxes","TPTSTP","Millions $",""
"Other sales taxes","TPOSTP","Millions $",""
"Amusement taxes","TPAMUP","Millions $",""
"Gasoline and motive fuel taxes","TPGASP","Millions $",""
"Liquor trading profits","TPLIQP","Millions $",""
"Gaming trading profits","TPGAMP","Millions $",""
"Land transfer taxes","TPLTTP","Millions $",""
"Liquor gallonage taxes","TPLIGP","Millions $",""
"Other current transfers from households","TTPERP","Millions $",""
"Motor vehicle and drivers licences","TTPMVP","Millions $",""
"Health insurance premiums","TTPHIP","Millions $",""
"Other","TTPOTP","Millions $",""
"Other current transfers from households, Education","TTPEDP","Millions $",""
"Other current transfers from households, Health Care","TTPHEP","Millions $",""
"Current transfers from non-profit institutions serving households","TTNPRP","Millions $",""
"Current transfers from general governments","TGOVP","Millions $",""
"From federal government","TGFEDP","Millions $",""
"From local general governments","TGLOCP","Millions $",""
"From Aboriginal general governments","TGABOP","Millions $",""
"Investment income","TYINP","Millions $",""
"Royalties","TYROYP","Millions $",""
"Interest and other investment income","TYIINP","Millions $",""
"Remitted profits of government business enterprises","TYGBUP","Millions $",""
"Provincial and territorial education; Investment income","TYEDUP","Millions $",""
"Provincial and territorial health and social services; Investment income","TYHEAP","Millions $",""
"Sales of goods and services","TSOGSP","Millions $",""
"Capital transfers","TCAPP","Millions $",""
"From households","TCPERP","Millions $",""
"From non-profit institutions serving households","TCNPRP","Millions $",""
"From business","TCBUSP","Millions $",""
"From general governments","TCGOVP","Millions $",""
"General governments expenditure","GEXPP","Millions $",""
"Gross current expenditure on goods and services","GGGSP","Millions $",""
"Gross current expenditure on goods and services, General","GGSGENP","Millions $",""
"Gross current expenditure on goods and services, Medicare","GGSMEDP","Millions $",""
"Gross current expenditure on goods and services, Hospitals","GGSHEAP","Millions $",""
"Gross current expenditure on goods and services, Education","GGSEDUP","Millions $",""
"Consumption of fixed capital","GCCAP","Millions $",""
"Current transfers to households","GTHHP","Millions $",""
"Current transfers to households, Income maintenance","GTHWEP","Millions $",""
"Current transfers to households, Other Social Assistance","GTHOSP","Millions $",""
"Current transfers to households, Social insurance benefits, workers' compensation","GTHWCP","Millions $",""
"Current transfers to households, Social insurance benefits, other","GTHSIP","Millions $",""
"Current transfers to households, Health Care","GTHOTP","Millions $",""
"Current transfers to households, Education","GTHHEP","Millions $",""
"Current transfers to households, Other","GTHEDP","Millions $",""
"Current transfers to non-profit institutions serving households","GTNPRP","Millions $",""
"Subsidies","GSUBP","Millions $",""
"Subsidies on products and imports","GSPIP","Millions $",""
"Agriculture","GSPAGP","Millions $",""
"Non-agriculture","GSPNAP","Millions $",""
"Subsidies on production","GSPROP","Millions $",""
"Current transfers to general governments","GXGRP","Millions $",""
"To Federal Government","GXTFDP","Millions $",""
"To local general governments","GXLOCP","Millions $",""
"To Aboriginal general governments","GXABOP","Millions $",""
"Current transfers to non-residents","GTNRP","Millions $",""
"Capital transfers","GCASP","Millions $",""
"Capital transfers, To households","GCAHHP","Millions $",""
"Capital transfers, To non-profit institutions serving households","GCANPP","Millions $",""
"Capital transfers, To business","GCABUP","Millions $",""
"Capital transfers, To general governments","GCAGP","Millions $",""
"Capital transfers,To Federal Government","GCAGFP","Millions $",""
"Capital transfers, To local general governments","GCAGLP","Millions $",""
"Capital transfers, To Aboriginal general governments","GCAGAP","Millions $",""
"Capital transfers, To non-residents","GCANRP","Millions $",""
"Interest on debt","GIOPDP","Millions $",""
"General governments surplus or deficit","GBALP","Millions $",""
"Less: non-financial capital acquisition","GNFCP","Millions $",""
"Fixed capital","GNFFP","Millions $",""
"New capital","GNFNCP","Millions $",""
"Existing capital","GNFECP","Millions $",""
"Equals: net lending or net borrowing","GNTLP","Millions $",""
"General governments revenue","TREVL","Millions $",""
"Taxes on production and imports","TPRML","Millions $",""
"Taxes on production","TPRDL","Millions $",""
"Licences, permits and fees","TPLICL","Millions $",""
"Real property taxes","TPPRXL","Millions $",""
"Other local taxes on factors of production","TPPOTL","Millions $",""
"Taxes on products","TPROL","Millions $",""
"Deed transfer tax","TPDEEL","Millions $",""
"Local sales taxes","TPSTXL","Millions $",""
"Other current transfers from households","TTPERL","Millions $",""
"Current transfers from non-profit institutions serving households","TTNPRL","Millions $",""
"Current transfers from general governments","TGOVL","Millions $",""
"From federal government","TGFEDL","Millions $",""
"From provincial and territorial general governments","TGPRVL","Millions $",""
"From Aboriginal general governments","TGABOL","Millions $",""
"Investment income","TYINL","Millions $",""
"Interest and other investment income","TYIINL","Millions $",""
"Remitted profits of government business enterprises","TYGBUL","Millions $",""
"Sales of goods and services","TSOGSL","Millions $",""
"Capital transfers","TCAPL","Millions $",""
"From households","TCPERL","Millions $",""
"From non-profit institutions serving households","TCNPRL","Millions $",""
"From business","TCBUSL","Millions $",""
"From general governments","TCGOVL","Millions $",""
"General governments expenditure","GEXPL","Millions $",""
"Gross current expenditure on goods and services","GGGSL","Millions $",""
"Consumption of fixed capital","GCCAL","Millions $",""
"Current transfers to households","GTHHL","Millions $",""
"Current transfers to households, Social assistance","GTHWEL","Millions $",""
"Other federal transfers to households, other","GTHOTL","Millions $",""
"Current transfers to non-profit institutions serving households","GTNPRL","Millions $",""
"Subsidies","GSUBL","Millions $",""
"Subsidies on products and imports","GSPIML","Millions $",""
"Subsidies on production","GSPROL","Millions $",""
"Current transfers to general governments","GXGRL","Millions $",""
"To Federal Government","GXTFDL","Millions $",""
"To provincial and territorial general governments","GXPROL","Millions $",""
"To Aboriginal general governments","GXABOL","Millions $",""
"Current transfers to non-residents","GTNRL","Millions $",""
"Capital transfers","GCASL","Millions $",""
"To non-profit institutions serving households","GCANPL","Millions $",""
"To business","GCABUL","Millions $",""
"To general governments","GCAGL","Millions $",""
"To non-residents","GCANRL","Millions $",""
"Interest on debt","GIOPDL","Millions $",""
"General governments surplus or deficit","GBALL","Millions $",""
"Less: non-financial capital acquisition","GNFCL","Millions $",""
"Fixed capital","GNFFL","Millions $",""
"New capital","GNFNCL","Millions $",""
"Existing capital","GNFECL","Millions $",""
"Equals: net lending or net borrowing","GNTLL","Millions $",""
"Developers fees","TPDEVL","Millions $",""
"Gross current expenditure on goods and services, General Operating Expenditure","GGSGENL","Millions $",""
"Gross current expenditure on goods and services, Education Operating Expenditure","GGSEDUL","Millions $",""
"To households","GCAHHL","Millions $",""
"Business taxes","TPBUSL","Millions $",""
"Amusement taxes","TPAMUL","Millions $",""
"General governments revenue","TREVA","Millions $",""
"Taxes on production and imports","TPRMA","Millions $",""
"Current transfers from general governments","TGOVA","Millions $",""
"From federal government","TGFEDA","Millions $",""
"From provincial and territorial general governments","TGPRVA","Millions $",""
"From local general governments","TGLOCA","Millions $",""
"Investment income","TYINA","Millions $",""
"General governments expenditure","GEXPA","Millions $",""
"Gross current expenditure on goods and services","GGGSA","Millions $",""
"Current transfers to households","GTHHA","Millions $",""
"General governments surplus or deficit","GBALA","Millions $",""
"consumption of fixed capital","GCCAA","Millions $",""
"Less: non-financial capital acquisition","GNFCA","Millions $",""
"Fixed capital","GNFFA","Millions $",""
"Equals: net lending or net borrowing","GNTLA","Millions $",""
"General governments revenue","TREVC","Millions $",""
"Contributions to social insurance plans","TEIPCC","Millions $",""
"Investment income","TYINC","Millions $",""
"General governments expenditure","GEXPC","Millions $",""
"Gross current expenditure on goods and services","GGGSC","Millions $",""
"Current transfers to households","GTHHC","Millions $",""
"Current transfers to non-residents","GTNRC","Millions $",""
"General governments surplus or deficit","GBALC","Millions $",""
"General governments revenue","TREVQ","Millions $",""
"Contributions to social insurance plans","TEIPCQ","Millions $",""
"Investment income","TYINQ","Millions $",""
"General governments expenditure","GEXPQ","Millions $",""
"Gross current expenditure on goods and services","GGGSQ","Millions $",""
"Current transfers to households","GTHHQ","Millions $",""
"General governments surplus or deficit","GBALQ","Millions $",""
"Pension assets at market value, CPP","KCPP","Millions $",""
"Pension assets at market value, QPP","KQPP","Millions $",""
"Total general governments gross fixed capital formation","IGK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Construction","IGCK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Residential structures","IGCRK","Millions $ 2012",""
"Aboriginal general governments gross fixed capital formation, Residential structures","IGCRAK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Non-residential structures","IGCNK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Non-residential buildings","IGCNBK","Millions $ 2012",""
"Federal general governments gross fixed capital formation, Residential structures","IGCRFK","Millions $ 2012",""
"Local general governments gross fixed capital formation, Residential structures","IGCRLK","Millions $ 2012",""
"Aboriginal general governments gross fixed capital formation, Non-residential buildings","IGCNBAK","Millions $ 2012",""
"Federal general governments gross fixed capital formation, Non-residential buildings","IGCNBFK","Millions $ 2012",""
"Provincial general governments gross fixed capital formation, Residential structures","IGCRPK","Millions $ 2012",""
"Local general governments gross fixed capital formation, Non-residential buildings","IGCNBLK","Millions $ 2012",""
"Provincial general governments gross fixed capital formation, Non-residential buildings","IGCNBPK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Total general governments gross fixed capital formation, Engineering structures","IGCNEK","Millions $ 2012",""
"Aboriginal general governments gross fixed capital formation,  Engineering structures","IGCNEAK","Millions $ 2012",""
"Federal general governments gross fixed capital formation,  Engineering structures","IGCNEFK","Millions $ 2012",""
"Local general governments gross fixed capital formation, Engineering structures","IGCNELK","Millions $ 2012",""
"Provincial general governments gross fixed capital formation,  Engineering structures","IGCNEPK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Machinery and equipment","IGMK","Millions $ 2012",""
"Aboriginal general governments gross fixed capital formation, Machinery and equipment","IGMAK","Millions $ 2012",""
"Federal general governments gross fixed capital formation, Machinery and equipment","IGMFK","Millions $ 2012",""
"Local general governments gross fixed capital formation, Machinery and equipment","IGMLK","Millions $ 2012",""
"Provincial general governments gross fixed capital formation, Machinery and equipment","IGMPK","Millions $ 2012",""
"Federal general governments gross fixed capital formation, Weapons systems","IGWK","Millions $ 2012",""
"Total general governments gross fixed capital formation, Intellectual property products","IGIK","Millions $ 2012",""
"Aboriginal general governments gross fixed capital formation, Intellectual property products","IGIAK","Millions $ 2012",""
"Federal general governments gross fixed capital formation, Intellectual property products","IGIFK","Millions $ 2012",""
"Local general governments gross fixed capital formation, Intellectual property products","IGILK","Millions $ 2012",""
"Provincial general governments gross fixed capital formation,Intellectual property products","IGIPK","Millions $ 2012",""
"Total general governments gross fixed capital formation","IG","Millions $",""
"Total general governments gross fixed capital formation, Construction","IGC","Millions $",""
"Total general governments gross fixed capital formation, Residential structures","IGCR","Millions $",""
"Aboriginal general governments gross fixed capital formation, Residential structures","IGCRA","Millions $",""
"Total general governments gross fixed capital formation, Non-residential structures","IGCN","Millions $",""
"Total general governments gross fixed capital formation, Non-residential buildings","IGCNB","Millions $",""
"Federal general governments gross fixed capital formation, Residential structures","IGCRF","Millions $",""
"Local general governments gross fixed capital formation, Residential structures","IGCRL","Millions $",""
"Aboriginal general governments gross fixed capital formation, Non-residential buildings","IGCNBA","Millions $",""
"Federal general governments gross fixed capital formation, Non-residential buildings","IGCNBF","Millions $",""
"Provincial general governments gross fixed capital formation, Residential structures","IGCRP","Millions $",""
"Local general governments gross fixed capital formation, Non-residential buildings","IGCNBL","Millions $",""
"Provincial general governments gross fixed capital formation, Non-residential buildings","IGCNBP","Millions $",""
"Total general governments gross fixed capital formation, Total general governments gross fixed capital formation, Engineering structures","IGCNE","Millions $",""
"Aboriginal general governments gross fixed capital formation,  Engineering structures","IGCNEA","Millions $",""
"Federal general governments gross fixed capital formation,  Engineering structures","IGCNEF","Millions $",""
"Local general governments gross fixed capital formation, Engineering structures","IGCNEL","Millions $",""
"Provincial general governments gross fixed capital formation,  Engineering structures","IGCNEP","Millions $",""
"Total general governments gross fixed capital formation, Machinery and equipment","IGM","Millions $",""
"Aboriginal general governments gross fixed capital formation, Machinery and equipment","IGMA","Millions $",""
"Federal general governments gross fixed capital formation, Machinery and equipment","IGMF","Millions $",""
"Local general governments gross fixed capital formation, Machinery and equipment","IGML","Millions $",""
"Provincial general governments gross fixed capital formation, Machinery and equipment","IGMP","Millions $",""
"Federal general governments gross fixed capital formation, Weapons systems","IGW","Millions $",""
"Total general governments gross fixed capital formation, Intellectual property products","IGI","Millions $",""
"Aboriginal general governments gross fixed capital formation, Intellectual property products","IGIA","Millions $",""
"Federal general governments gross fixed capital formation, Intellectual property products","IGIF","Millions $",""
"Local general governments gross fixed capital formation, Intellectual property products","IGIL","Millions $",""
"Provincial general governments gross fixed capital formation,Intellectual property products","IGIP","Millions $",""
"Total assets, Federal Government","KASSF","Millions $, Book Value",""
"Financial assets, Federal Government","KASSFIF","Millions $, Book Value",""
"Non-financial assets, Federal Government","KASSNFF","Millions $, Book Value",""
"Total Liabilities Federal Government","KLIAF","Millions $, Book Value",""
"Net worth, Federal Government ","KDEBTF","Millions $, Book Value",""
"Total assets, Provincial Government","KASSP","Millions $, Book Value",""
"Financial assets, Provincial Government","KASSFIP","Millions $, Book Value",""
"Non-financial assets, Provincial Government","KASSNFP","Millions $, Book Value",""
"Total Liabilities Provincial Government","KLIAP","Millions $, Book Value",""
"Net worth, Provincial Government ","KDEBTP","Millions $, Book Value",""
"Total assets, Local Government","KASSL","Millions $, Book Value",""
"Financial assets, Local Government","KASSFIL","Millions $, Book Value",""
